Word,Concrete_rating
blazer,4.79
bleach,4.74
bleached,3.72
bleacher,4.14
bleaching,3.9
bleary,2
bleed,4.4
blender,5
blessed,2.1
blessedly,1.91
blessedness,1.58
blessing,2.19
blessings,2.08
blighted,2.32
blindfold,4.57
blindfolded,4.55
blindness,3.73
blinked,4.03
blinks,4.08
bliss,1.37
blissful,2.15
blister,4.71
blithely,1.55
blizzard,4.68
blockade,4.25
blockage,3.93
bloke,3.89
blond,4.41
blood,4.86
bloodhound,4.76
bloodlust,2.31
bloodshed,3.83
bloodshot,4.26
bloodstain,4.67
bloodstained,4.37
bloodstream,4.04
bloodsucker,3.81
bloomers,4.26
blooming,4.07
blotter,3.83
blotting,3.71
blouse,4.96
blower,4.07
blowfish,4.69
blowgun,4.83
blowhole,4.34
blowing,4.21
blowpipe,4.42
blowtorch,4.93
bludgeon,3.81
blueberry,4.96
bluebird,4.97
bluebook,4.44
bluefish,4.79
bluejay,4.97
blueprint,4.77
blues,2.31
bluffer,2.21
blunder,2.35
bluntly,2.03
bluntness,2.11
blush,4.41
blushing,3.72
boa,4.92
boar,4.8
board,4.57
boardinghouse,4.5
boardroom,4.66
boardwalk,4.78
boast,2.32
boaster,2.46
boastful,2.48
boater,4.33
boathouse,4.78
boating,3.85
boatman,4.73
bobsleigh,4.77
bobtail,4.59
bode,1.88
bodice,4.78
bodybuilder,4.43
bodyguard,4.75
bogey,3.69
boggle,2
bogus,2.19
bold,2.43
boldly,1.67
boldness,2
bolero,4.56
bolster,1.89
bombardier,3.81
bomber,4.45
bombshell,3.88
bonbon,4.61
bondage,3.65
bonding,2.48
bondsman,3.79
boneless,3.72
bonfire,4.83
bong,4.27
bonkers,1.76
bonnet,4.93
boo,2.48
bookbinder,4.93
bookcase,4.93
bookend,4.32
bookish,2.07
bookkeeper,4.64
booklet,4.72
bookmaker,3.97
bookmark,4.9
bookmarker,4.62
bookseller,4.43
bookshelf,4.93
bookshop,4.84
bookwork,3.93
bookworm,3.69
boomerang,4.7
boon,2.48
boorishness,2.26
bootlace,4.54
bootlegger,3.86
boozy,2.46
bop,3.63
bordello,4.04
bordered,3.7
boredom,1.96
borehole,4
bossed,2.23
bossy,2.21
botanist,4.07
botched,2.48
bothersome,1.85
bottle,4.91
bottleneck,3.97
bouillon,4.2
boulder,4.67
boulevard,4.73
bounce,3.86
boundless,2
